GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RingBufferExample,at.jku.swtesting,RingBuffer.RingBufferIterator,9,77,2,6,2,15,3,5,1,3
RingBufferExample,at.jku.swtesting,RingBuffer,10,135,2,10,1,28,2,13,1,8
